"subregion","region","pop","high","college","income","poppermile","establishments","employees","ipaddr"
"carbon","wyoming",15666,90.9,17.2,58655,2,526,4829,14795
"caribou","idaho",6787,90,18.3,49740,3.9,185,2500,3914
"carlisle","kentucky",5034,82.3,11.4,35699,26.9,72,476,1911
"carlton","minnesota",35348,91.1,22.4,53553,41.1,702,7757,22195
"caroline","maryland",32718,82.2,16.2,61021,103.5,614,6663,26945
"caroline","virginia",28972,81.9,17.6,58707,54.1,377,3747,30663
"carroll","arkansas",27610,80.4,17.1,36031,43.6,678,7667,18504
"carroll","georgia",111580,79.7,18.4,45752,221.5,1932,29544,155120
"carroll","illinois",15011,89.1,16.2,45433,34.6,411,3474,9600
"carroll","indiana",20095,89,14.4,49232,54.1,395,4191,13936
"carroll","iowa",20631,89.5,17.9,48038,36.6,889,10729,9815
"carroll","kentucky",10900,75.5,8.1,42063,84.1,231,5573,4006
"carroll","maryland",167217,90.3,31.5,83325,373.4,4173,47074,144717
"carroll","mississippi",10423,78.8,14,28793,16.9,90,481,1961
"carroll","missouri",9086,83.5,17.3,44015,13.4,233,1667,5018
