"subregion","region","pop","income","ufo2010","ufo2pop"
"crook","oregon",20729,45004,5,0.000241207969511313
"curry","oregon",22248,39787,13,0.000584322186263934
"deschutes","oregon",162277,52962,16,9.85968436685421e-05
"douglas","oregon",107164,40501,15,0.00013997237878392
"gilliam","oregon",1953,42260,0,0
"grant","oregon",7317,34367,0,0
"harney","oregon",7212,38702,2,0.000277315585135885
"hood river","oregon",22584,54109,4,0.000177116542685087
"jackson","oregon",206412,43386,43,0.000208321221634401
"jefferson","oregon",21749,42867,6,0.000275874752862201
"josephine","oregon",82930,37824,23,0.000277342336910648
"klamath","oregon",65912,41787,16,0.000242747906299308
"lake","oregon",7771,36583,6,0.000772101402650881
"lane","oregon",354542,42621,93,0.000262310248151136
"lincoln","oregon",46151,41764,7,0.000151676020021235
"linn","oregon",118360,46872,21,0.000177424805677594
"malheur","oregon",30630,39013,4,0.000130590923930787
"marion","oregon",319985,46191,64,0.000200009375439474
"morrow","oregon",11244,46110,2,0.000177872643187478
"multnomah","oregon",759256,50726,187,0.000246293740187763
"polk","oregon",76353,52865,12,0.000157164747947035
"sherman","oregon",1732,46453,1,0.000577367205542725
"tillamook","oregon",25287,41400,1,3.95460117847115e-05
